"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","From Pass","To Pass","From Start Lat (deg)","From Start Lon (deg)","From Start Alt (km)","From Stop Lat (deg)","From Stop Lon (deg)","From Stop Alt (km)","To Start Lat (deg)","To Start Lon (deg)","To Start Alt (km)","To Stop Lat (deg)","To Stop Lon (deg)","To Stop Alt (km)","From Pass End","To Pass End","To Object","From Object","To Parent","From Parent"
20 Jan 2024 21:52:51.903,20 Jan 2024 22:03:21.815,629.912,"4","N/A",20.866,-87.994,552.694474,60.360,-90.625,566.123371,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"4","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
20 Jan 2024 23:27:30.550,20 Jan 2024 23:39:24.062,713.512,"5","N/A",16.570,-111.719,551.726711,61.319,-114.701,566.429109,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"5","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
21 Jan 2024 09:30:32.284,21 Jan 2024 09:39:38.013,545.729,"11","N/A",57.172,-82.889,565.065100,22.952,-85.170,553.230363,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"11","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
21 Jan 2024 11:05:00.014,21 Jan 2024 11:17:12.905,732.891,"12","N/A",62.116,-106.570,566.678671,16.154,-109.632,551.643421,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"12","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
21 Jan 2024 12:43:02.299,21 Jan 2024 12:48:32.522,330.224,"13","N/A",53.658,-131.146,563.836473,32.964,-132.526,556.296232,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"13","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
21 Jan 2024 21:49:33.674,21 Jan 2024 22:00:05.956,632.282,"19","N/A",20.763,-88.151,552.669056,60.406,-90.793,566.138081,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"19","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
21 Jan 2024 23:24:14.593,21 Jan 2024 23:36:07.020,712.427,"20","N/A",16.610,-111.886,551.734814,61.290,-114.863,566.420216,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"20","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
22 Jan 2024 09:27:14.199,22 Jan 2024 09:36:23.684,549.485,"26","N/A",57.266,-83.047,565.096941,22.810,-85.343,553.192525,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"26","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
22 Jan 2024 11:01:43.502,22 Jan 2024 11:13:55.891,732.389,"27","N/A",62.112,-106.734,566.677150,16.181,-109.794,551.648712,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"27","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
22 Jan 2024 12:39:48.851,22 Jan 2024 12:45:11.280,322.429,"28","N/A",53.461,-131.324,563.766205,33.256,-132.671,556.395673,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"28","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
22 Jan 2024 21:46:15.469,22 Jan 2024 21:56:50.085,634.616,"34","N/A",20.661,-88.309,552.644123,60.451,-90.960,566.152559,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"34","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
22 Jan 2024 23:20:58.655,22 Jan 2024 23:32:49.965,711.309,"35","N/A",16.651,-112.053,551.743182,61.261,-115.025,566.411053,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"35","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
23 Jan 2024 09:23:56.136,23 Jan 2024 09:33:09.325,553.189,"41","N/A",57.358,-83.205,565.128236,22.669,-85.517,553.155356,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"41","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
23 Jan 2024 10:58:26.997,23 Jan 2024 11:10:38.859,731.862,"42","N/A",62.106,-106.899,566.675498,16.209,-109.957,551.654229,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"42","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
23 Jan 2024 12:36:35.520,23 Jan 2024 12:41:49.917,314.397,"43","N/A",53.257,-131.501,563.693187,33.556,-132.815,556.498184,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"43","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
23 Jan 2024 21:42:57.284,23 Jan 2024 21:53:34.201,636.917,"49","N/A",20.561,-88.466,552.619595,60.495,-91.127,566.166747,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"49","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
23 Jan 2024 23:17:42.731,23 Jan 2024 23:29:32.900,710.170,"50","N/A",16.693,-112.220,551.751729,61.232,-115.187,566.401711,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"50","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
24 Jan 2024 09:20:38.100,24 Jan 2024 09:29:54.934,556.834,"56","N/A",57.448,-83.364,565.158935,22.531,-85.690,553.118914,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"56","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
24 Jan 2024 10:55:10.498,24 Jan 2024 11:07:21.812,731.314,"57","N/A",62.100,-107.063,566.673708,16.238,-110.119,551.659936,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"57","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
24 Jan 2024 12:33:22.312,24 Jan 2024 12:38:28.417,306.104,"58","N/A",53.046,-131.680,563.617219,33.864,-132.959,556.604086,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"58","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
24 Jan 2024 21:39:39.119,24 Jan 2024 21:50:18.305,639.187,"64","N/A",20.462,-88.624,552.595467,60.538,-91.294,566.180685,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"64","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
24 Jan 2024 23:14:26.822,24 Jan 2024 23:26:15.827,709.005,"65","N/A",16.736,-112.387,551.760505,61.202,-115.350,566.392188,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"65","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
25 Jan 2024 09:17:20.088,25 Jan 2024 09:26:40.510,560.422,"71","N/A",57.537,-83.522,565.189077,22.395,-85.863,553.083176,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"71","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
25 Jan 2024 10:51:54.003,25 Jan 2024 11:04:04.747,730.745,"72","N/A",62.094,-107.228,566.671856,16.267,-110.281,551.665881,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"72","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
25 Jan 2024 12:30:09.236,25 Jan 2024 12:35:06.773,297.536,"73","N/A",52.826,-131.859,563.538136,34.182,-133.102,556.713592,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"73","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
25 Jan 2024 21:36:20.973,25 Jan 2024 21:47:02.396,641.423,"79","N/A",20.364,-88.782,552.571731,60.581,-91.461,566.194344,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"79","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
25 Jan 2024 23:11:10.926,25 Jan 2024 23:22:58.745,707.820,"80","N/A",16.780,-112.555,551.769459,61.171,-115.512,566.382482,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"80","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
26 Jan 2024 09:14:02.095,26 Jan 2024 09:23:26.054,563.958,"86","N/A",57.624,-83.680,565.218761,22.260,-86.037,553.048141,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"86","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
26 Jan 2024 10:48:37.523,26 Jan 2024 11:00:47.676,730.154,"87","N/A",62.088,-107.393,566.669717,16.298,-110.443,551.671920,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"87","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
26 Jan 2024 12:26:56.314,26 Jan 2024 12:31:44.974,288.660,"88","N/A",52.597,-132.038,563.455428,34.509,-133.244,556.826959,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"88","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
26 Jan 2024 21:33:02.847,26 Jan 2024 21:43:46.480,643.633,"94","N/A",20.268,-88.939,552.548384,60.623,-91.629,566.207833,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"94","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
26 Jan 2024 23:07:55.050,26 Jan 2024 23:19:41.655,706.605,"95","N/A",16.825,-112.722,551.778700,61.140,-115.674,566.372593,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"95","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
27 Jan 2024 09:10:44.128,27 Jan 2024 09:20:11.567,567.439,"101","N/A",57.710,-83.839,565.247871,22.128,-86.210,553.013774,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"101","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
27 Jan 2024 10:45:21.046,27 Jan 2024 10:57:30.586,729.541,"102","N/A",62.080,-107.557,566.667512,16.329,-110.606,551.678200,38.834,-104.821,-0.000000,38.834,-104.821,-0.000000,"102","N/A","To Place Colorado_Springs","From Satellite Leo_Sat11","No Parent","No Parent"
