"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","From Pass","To Pass","From Start Lat (deg)","From Start Lon (deg)","From Start Alt (km)","From Stop Lat (deg)","From Stop Lon (deg)","From Stop Alt (km)","To Start Lat (deg)","To Start Lon (deg)","To Start Alt (km)","To Stop Lat (deg)","To Stop Lon (deg)","To Stop Alt (km)","From Pass End","To Pass End","To Object","From Object","To Parent","From Parent"
20 Jan 2024 21:52:52.616,20 Jan 2024 22:03:21.109,628.493,"4","N/A",20.911,-87.997,552.705566,60.316,-90.622,566.109167,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"4","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
20 Jan 2024 23:27:31.187,20 Jan 2024 23:39:23.421,712.234,"5","N/A",16.610,-111.722,551.734857,61.279,-114.698,566.416476,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"5","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
21 Jan 2024 09:30:33.156,21 Jan 2024 09:39:37.148,543.992,"11","N/A",57.118,-82.893,565.046511,23.007,-85.166,553.244887,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"11","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
21 Jan 2024 11:05:00.626,21 Jan 2024 11:17:12.294,731.668,"12","N/A",62.078,-106.572,566.666829,16.193,-109.629,551.651060,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"12","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
21 Jan 2024 12:43:03.678,21 Jan 2024 12:48:31.138,327.460,"13","N/A",53.572,-131.152,563.805654,33.051,-132.520,556.325779,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"13","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
21 Jan 2024 21:49:34.384,21 Jan 2024 22:00:05.248,630.864,"19","N/A",20.808,-88.154,552.680061,60.361,-90.790,566.123848,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"19","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
21 Jan 2024 23:24:15.232,21 Jan 2024 23:36:06.378,711.147,"20","N/A",16.650,-111.889,551.742992,61.250,-114.860,566.407554,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"20","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
22 Jan 2024 09:27:15.064,22 Jan 2024 09:36:22.825,547.762,"26","N/A",57.212,-83.051,565.078523,22.864,-85.340,553.206870,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"26","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
22 Jan 2024 11:01:44.114,22 Jan 2024 11:13:55.279,731.165,"27","N/A",62.073,-106.737,566.665301,16.220,-109.792,551.656366,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"27","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
22 Jan 2024 12:39:50.266,22 Jan 2024 12:45:09.862,319.597,"28","N/A",53.373,-131.330,563.734533,33.345,-132.665,556.426082,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"28","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
