"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,20 Jan 2024 21:52:52.616,20 Jan 2024 22:03:21.109,628.493
2,20 Jan 2024 23:27:31.187,20 Jan 2024 23:39:23.421,712.234
3,21 Jan 2024 09:30:33.156,21 Jan 2024 09:39:37.148,543.992
4,21 Jan 2024 11:05:00.626,21 Jan 2024 11:17:12.294,731.668
5,21 Jan 2024 12:43:03.678,21 Jan 2024 12:48:31.138,327.460
6,21 Jan 2024 21:49:34.384,21 Jan 2024 22:00:05.248,630.864
7,21 Jan 2024 23:24:15.232,21 Jan 2024 23:36:06.378,711.147
8,22 Jan 2024 09:27:15.064,22 Jan 2024 09:36:22.825,547.762
9,22 Jan 2024 11:01:44.114,22 Jan 2024 11:13:55.279,731.165
10,22 Jan 2024 12:39:50.266,22 Jan 2024 12:45:09.862,319.597
11,22 Jan 2024 21:46:16.176,22 Jan 2024 21:56:49.380,633.204
12,22 Jan 2024 23:20:59.295,22 Jan 2024 23:32:49.322,710.026
13,23 Jan 2024 09:23:56.995,23 Jan 2024 09:33:08.473,551.478
14,23 Jan 2024 10:58:27.609,23 Jan 2024 11:10:38.246,730.637
15,23 Jan 2024 12:36:36.971,23 Jan 2024 12:41:48.461,311.490
16,23 Jan 2024 21:42:57.989,23 Jan 2024 21:53:33.499,635.510
17,23 Jan 2024 23:17:43.372,23 Jan 2024 23:29:32.256,708.884
18,24 Jan 2024 09:20:38.952,24 Jan 2024 09:29:54.087,555.135
19,24 Jan 2024 10:55:11.111,24 Jan 2024 11:07:21.200,730.089
20,24 Jan 2024 12:33:23.804,24 Jan 2024 12:38:26.921,303.117
21,24 Jan 2024 21:39:39.821,24 Jan 2024 21:50:17.605,637.785
22,24 Jan 2024 23:14:27.464,24 Jan 2024 23:26:15.182,707.717
23,25 Jan 2024 09:17:20.934,25 Jan 2024 09:26:39.669,558.735
24,25 Jan 2024 10:51:54.616,25 Jan 2024 11:04:04.134,729.518
25,25 Jan 2024 12:30:10.770,25 Jan 2024 12:35:05.234,294.464
